student_id,student_name,age,gender,country,university,program_level,field_of_study,year_of_study,tuition_usd,scholarship,online_classes,campus_facilities_rating,teaching_quality_rating,overall_satisfaction
1,Dustin Shaw,30,Other,Netherlands,"Herrera, Juarez and Williams University",Bachelor,Data Science,5,47419,Yes,No,1,2,Satisfied
2,Richard Hughes,20,Female,UK,Norton LLC University,Master,Computer Science,4,6419,Yes,Yes,3,4,Satisfied
3,John Cooper,34,Female,UK,Berg Inc University,PhD,Engineering,3,7126,Yes,No,3,5,Very Dissatisfied
4,Travis Thompson,19,Female,Japan,Johnson-Gordon University,Bachelor,Business,2,13564,No,Yes,4,4,Dissatisfied
5,Jessica Campbell,34,Female,Japan,Nixon-Dodson University,PhD,Social Sciences,3,2531,Yes,Yes,5,3,Dissatisfied
6,Kristin Thompson,19,Other,Japan,Page LLC University,Master,Data Science,3,21558,Yes,Yes,1,4,Very Dissatisfied
7,Laura Stephens,34,Male,France,"Smith, Ferrell and Curtis University",PhD,Physics,5,48252,No,Yes,1,1,Dissatisfied
8,Mary Scott,25,Female,India,"Johnson, Malone and Brown University",PhD,Medicine,2,46233,Yes,No,1,5,Very Dissatisfied
9,Peter Fernandez,29,Male,UAE,Martinez-Perez University,Bachelor,Business,1,17725,No,Yes,2,2,Neutral
10,Mark Gibson,20,Other,Germany,"Henry, Jones and Anderson University",Master,Business,1,5089,Yes,No,5,5,Neutral
11,Candace Robbins,33,Female,France,Green Ltd University,Master,Computer Science,5,42121,Yes,No,5,4,Satisfied
12,Ralph Coffey,22,Other,Japan,Williams Ltd University,Master,Medicine,1,3779,No,No,2,1,Very Dissatisfied
13,Nicole Powell,26,Male,Australia,Martinez-Johnson University,Bachelor,Business,3,30891,Yes,No,3,2,Satisfied
14,Ian Hall,27,Female,Pakistan,Carlson PLC University,Master,Arts,5,5589,No,No,3,1,Satisfied
15,Donald Little,33,Male,Canada,"Beck, White and Long University",Bachelor,Computer Science,1,3902,No,Yes,5,4,Dissatisfied
16,Benjamin Carlson,23,Male,UK,Jenkins-Porter University,PhD,Social Sciences,2,13220,No,Yes,1,2,Very Dissatisfied
17,Patrick Mendoza,21,Female,USA,Martinez Inc University,Master,Medicine,3,11647,Yes,No,4,3,Very Satisfied
18,Lindsey Mays,20,Female,France,Chapman PLC University,Master,Social Sciences,2,4000,No,Yes,5,2,Very Dissatisfied
19,Christopher Smith,31,Male,Japan,Lynch-Wilson University,Bachelor,Engineering,3,20959,No,No,1,5,Very Dissatisfied
20,Andrew Walker,34,Male,Malaysia,Rodriguez Ltd University,PhD,Business,3,44025,Yes,Yes,5,1,Very Dissatisfied
21,Eric Hendricks,23,Male,USA,Quinn Inc University,PhD,Business,3,40487,No,No,1,3,Very Satisfied
22,Brandon Dorsey,25,Female,UAE,Hansen Inc University,Bachelor,AI,5,5326,No,No,4,5,Dissatisfied
23,Michael Underwood,23,Male,Japan,Fischer PLC University,PhD,Medicine,2,44544,Yes,No,5,5,Dissatisfied
24,Amy Smith,28,Other,USA,Patel Inc University,Bachelor,Arts,2,22146,Yes,Yes,4,5,Dissatisfied
25,Gary Henson,31,Female,India,"Martin, Cooper and Anderson University",Master,Engineering,3,45206,Yes,Yes,4,2,Neutral
26,Shawn Russell,28,Male,China,Cross-Carter University,PhD,Computer Science,2,41169,No,Yes,4,3,Very Satisfied
27,Patricia Lucas,24,Other,Netherlands,Lawrence-Buckley University,Bachelor,Arts,5,12606,No,Yes,1,1,Dissatisfied
28,Jeffrey Castillo,33,Female,Canada,"Ingram, Salazar and Stephens University",PhD,AI,3,25089,No,Yes,1,1,Very Satisfied
29,Julia Watson,23,Other,China,"Archer, Chapman and Stevens University",PhD,Computer Science,2,7726,No,Yes,1,5,Very Satisfied
30,Darren Brooks,27,Other,France,"Miller, Johnson and Dixon University",Master,Medicine,4,13907,No,No,3,5,Neutral
